[2025-11-24 09:22:33] [INFO] Received stop signal; exiting loop
[2025-11-24 17:35:36] [DRY] Would copy /home/pi/Desktop/offline-setup-12Sep/data/csv/readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 17:35:36] [DRY] Copy pass would copy 1 file(s) to /home/pi/Desktop/test-usb
[2025-11-24 17:35:36] [INFO] Dry-run: 1 file(s) would be copied to /home/pi/Desktop/test-usb
[2025-11-24 17:35:51] [OK] Copied readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 17:57:48] [INFO] No USB mount detected
[2025-11-24 17:57:53] [INFO] No USB mount detected
[2025-11-24 17:57:58] [INFO] No USB mount detected
[2025-11-24 17:58:03] [INFO] No USB mount detected
[2025-11-24 17:58:08] [INFO] USB inserted -> triggering copy for /media/pi/070F-C9B2
[2025-11-24 17:58:10] [OK] Copied pi_Adiyogi_2025-11-24.csv -> /media/pi/070F-C9B2/OfflineDashboard/data/csv/pi_Adiyogi_2025-11-24.csv
[2025-11-24 17:58:10] [OK] Copied readings_all.csv -> /media/pi/070F-C9B2/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 17:58:10] [INFO] 2 file(s) copied to /media/pi/070F-C9B2
[2025-11-24 18:07:36] [INFO] Received stop signal; exiting loop
[2025-11-24 18:07:37] [INFO] USB copy service started; interval=5s, cooldown=600s
[2025-11-24 18:07:37] [INFO] USB inserted -> triggering copy for /media/pi/070F-C9B2
[2025-11-24 18:07:39] [OK] Copied pi_Adiyogi_2025-11-24.csv -> /media/pi/070F-C9B2/OfflineDashboard/data/csv/pi_Adiyogi_2025-11-24_1.csv
[2025-11-24 18:07:39] [OK] Copied readings_all.csv -> /media/pi/070F-C9B2/OfflineDashboard/data/csv/readings_all_1.csv
[2025-11-24 18:07:39] [INFO] 2 file(s) copied to /media/pi/070F-C9B2
[2025-11-24 18:07:59] [INFO] No USB mount detected
[2025-11-24 18:08:04] [INFO] No USB mount detected
[2025-11-24 18:08:09] [INFO] USB inserted -> triggering copy for /media/pi/070F-C9B2
[2025-11-24 18:08:11] [OK] Copied pi_Adiyogi_2025-11-24.csv -> /media/pi/070F-C9B2/OfflineDashboard/data/csv/pi_Adiyogi_2025-11-24_2.csv
[2025-11-24 18:08:12] [OK] Copied readings_all.csv -> /media/pi/070F-C9B2/OfflineDashboard/data/csv/readings_all_2.csv
[2025-11-24 18:08:12] [INFO] 2 file(s) copied to /media/pi/070F-C9B2
[2025-11-24 18:10:13] [INFO] Received stop signal; exiting loop
